id,date,open,high,low,close,volume
268,4/1/2015,206.43,212.48,204.51,208.46,2040000000
269,5/1/2015,209.4,213.78,206.76,211.14,1890000000
270,6/1/2015,211.94,213.34,205.28,205.89,2500000000
271,7/1/2015,207.73,213.18,204.11,210.45,2350000000
272,8/3/2015,210.46,211.31,182.4,197.54,3570000000
273,9/1/2015,193.12,202.89,186.93,191.59,3100000000
274,10/1/2015,192.08,209.44,189.12,207.87,2430000000
275,11/2/2015,208.32,211.66,202.18,208.69,1840000000
276,12/1/2015,209.44,211,199.83,203.87,2820000000
277,1/1/2016,200.49,201.9,181.02,193.72,3580000000
278,2/1/2016,192.53,196.68,181.09,193.35,2810000000
279,3/1/2016,195.01,206.87,194.45,205.52,2220000000
280,4/1/2016,204.35,210.92,203.09,206.33,1810000000
281,5/2/2016,206.92,210.69,202.78,209.84,1760000000
282,6/1/2016,209.12,212.52,198.65,209.48,2500000000
283,7/1/2016,209.48,217.54,207.06,217.12,1570000000
284,8/1/2016,217.19,219.6,214.25,217.38,1460000000
285,9/1/2016,217.37,219.22,212.31,216.3,2210000000
286,10/3/2016,215.82,216.7,211.21,212.55,1680000000
287,11/1/2016,212.93,221.82,208.38,220.38,1990000000
288,12/1/2016,0,0,0,0,0
